iter	F1	Logloss
0	0.6240888889	0.6913514738
1	0.6357792267	0.689236824
2	0.628268319	0.6874370543
3	0.6379945017	0.6851202596
4	0.6424461767	0.6829691158
5	0.6418617614	0.6810787189
6	0.6475023993	0.6790658442
7	0.6411068667	0.677532257
8	0.6409498291	0.6758182025
9	0.6450336003	0.6742004614
10	0.6475248432	0.6728435802
11	0.6442033649	0.6714631053
12	0.645788436	0.6698292132
13	0.6457873436	0.6687449676
14	0.646321876	0.6673170289
15	0.6480354938	0.6670082663
16	0.6517869369	0.6654588712
17	0.6485031033	0.6643764047
18	0.6487571266	0.6632691565
19	0.6478576981	0.6620600919
20	0.6513999545	0.6606814443
21	0.649872449	0.6598308053
22	0.6504368402	0.6588085091
23	0.6513999545	0.6576291686
24	0.6519482884	0.6567249662
25	0.6524557239	0.6558938623
26	0.6508059729	0.6549797062
27	0.6501647145	0.6538120849
28	0.6530053398	0.6528227111
29	0.6527803099	0.6518809883
30	0.6526018409	0.6510732126
31	0.65465111	0.650498971
32	0.6538671024	0.6497957469
33	0.6537237428	0.648935555
34	0.6552460581	0.648406135
35	0.6547700132	0.6478209755
36	0.6542352888	0.6472185014
37	0.6555268759	0.6465882948
38	0.655078515	0.64603091
39	0.65465111	0.6454852985
40	0.6550301492	0.6450026473
41	0.6536048732	0.6444041395
42	0.6550895489	0.6439182516
43	0.65465111	0.6436154939
44	0.6551489593	0.6432149046
45	0.6554461734	0.6428807066
46	0.6555757026	0.6425591509
47	0.6564186279	0.6419702933
48	0.6573990219	0.6416945259
49	0.6581304859	0.6412249686
50	0.6578840147	0.640629851
51	0.6584957713	0.6402766671
52	0.6584957713	0.6398268108
53	0.6581304859	0.6392731021
54	0.6591587517	0.6389978305
55	0.6595234866	0.6385717994
56	0.6583171316	0.6382001637
57	0.6589203364	0.6377902423
58	0.6591658759	0.6374888208
59	0.6597090449	0.6370402285
60	0.6586820935	0.6366004063
61	0.6582576066	0.6365052214
62	0.6600135471	0.6361101969
63	0.6601924206	0.6357816308
64	0.6600669017	0.6355933432
65	0.6598814855	0.6351727668
66	0.6581739052	0.634829394
67	0.660968661	0.6346389067
68	0.6590919379	0.6342263712
69	0.6596361003	0.6339075011
70	0.6587787298	0.6335004392
71	0.6590847304	0.6334003795
72	0.6581739052	0.6331411299
73	0.6586592938	0.6329295022
74	0.6583450592	0.6326923722
75	0.6589579649	0.6325376133
76	0.6590775092	0.6324178477
77	0.6593904262	0.632163931
78	0.6603594224	0.6319516267
79	0.6611480527	0.6316018989
80	0.6607239819	0.6314975425
81	0.6604790148	0.6313030185
82	0.6602337592	0.6310340684
83	0.6609632446	0.6308862848
84	0.6606584847	0.6307036112
85	0.6605986505	0.6305542057
86	0.6616868124	0.6303048837
87	0.6624105768	0.6301266838
88	0.6618711545	0.6298889862
89	0.661931047	0.6298526759
90	0.6617514022	0.6296681366
91	0.6629579376	0.6295246169
92	0.6634411033	0.6294191545
93	0.6638640268	0.6293623413
94	0.6648909756	0.6291979738
95	0.6630144429	0.6289247069
96	0.6631345379	0.6288113995
97	0.6634980989	0.6287235845
98	0.6628307358	0.6284266854
99	0.663981536	0.628308741
100	0.6631345379	0.6281713961
101	0.6634349658	0.6279751179
102	0.6634920635	0.6277528181
103	0.6639162171	0.6276544223
104	0.6625828115	0.6275654453
105	0.6627030952	0.6272595004
106	0.661852861	0.6270375328
107	0.6623984017	0.6268039008
108	0.6624585623	0.6266317454
109	0.6625187338	0.6265258909
110	0.6628197556	0.6264857626
111	0.6633685835	0.6262970826
112	0.6627632534	0.6260821825
113	0.6631879849	0.6258490058
114	0.6638533442	0.6256102106
115	0.6640341322	0.625372268
116	0.6639109698	0.6251862422
117	0.6644563539	0.625075675
118	0.6643356643	0.625019905
119	0.6643960036	0.6249093779
120	0.664275336	0.6248891495
121	0.6642150186	0.6248614486
122	0.6645187639	0.6247548289
123	0.6641547122	0.6245818699
124	0.6650635209	0.6243474282
125	0.6656685268	0.6241058613
126	0.6654270035	0.6239210476
127	0.6650031758	0.6237666704
128	0.66615259	0.6235886342
129	0.6658505622	0.6233724987
130	0.66615259	0.6232217619
131	0.666031746	0.6231275941
132	0.666031746	0.6230881501
133	0.6666364337	0.6229846515
134	0.66615259	0.6227231724
135	0.6667574684	0.6225350906
136	0.6662121625	0.6224192086
137	0.6661516088	0.6223174813
138	0.665787679	0.6222508632
139	0.6656666212	0.622215985
140	0.665787679	0.622138921
141	0.6659700136	0.6220490343
142	0.6659700136	0.6218639806
143	0.66760525	0.6217755445
144	0.6660905163	0.621679358
145	0.6668181612	0.6215935504
146	0.6669394063	0.6214667412
147	0.6674241047	0.6212333254
148	0.6669394063	0.6210941998
149	0.6665757162	0.6209617414
